Index,EAN,Internal ID,Stock,Price
1,0600958678568,19,943,520
2,2324638386946,46,234,827
3,2334310768953,26,104,336
4,5542574013413,2,590,774
5,9015754864991,3,581,93
6,3695431150690,49,361,107
7,2455560257148,50,765,444
8,4668341331410,58,385,194
9,4992667021831,82,729,892
10,7086600626003,54,584,944
11,1745067052041,57,531,576
12,1679552309559,53,948,873
13,4089080112694,26,199,442
14,6070546230678,54,897,362
15,3726469556014,31,674,510
16,0417812115158,70,940,774
17,4244858423307,57,327,78
18,4040757623509,88,807,776
19,7332079942336,49,248,542
20,6342359432861,41,6,577
21,2782864810305,16,971,852
22,3175261800410,80,598,255
23,8218098177258,93,793,495
24,9942902207372,29,886,816
25,7186106187593,98,671,725
26,8843548514262,14,766,262
27,5581946372352,27,797,56
28,3765579354608,9,894,521
29,1016159877782,77,742,357
30,4060440324612,90,307,317
31,0506200879663,7,497,811
32,4569034646791,65,260,790
33,4742445998592,61,153,526
34,2120763884841,89,458,945
35,1488558615539,76,908,275
36,7563382042301,27,738,635
37,1904739215355,39,622,465
38,7384409111141,74,336,964
39,2413746283787,74,15,929
40,9858250959385,62,337,899
41,3674111720262,44,306,633
42,2432702993577,8,350,199
43,1116000775967,91,802,60
44,4402491277651,94,129,154
45,2713270756185,22,517,15
46,5720003455175,68,155,844
47,8665018769992,86,727,14
48,2157847571410,86,701,995
49,7877687592769,57,114,149
50,1299094722229,39,65,934
