Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
1,d8dbeC5cAe72Dcd,Poole LLC,https://george-mosley.biz/,Luxembourg,Realigned fault-tolerant implementation,1990,Legislative Office,4987
2,233Bcb8cf024Cbd,"Conley, Yang and Farley",https://www.ramsey.net/,Guadeloupe,Configurable 6thgeneration access,2013,Education Management,448
3,58B9a0EAab91Ab8,"Houston, Norman and Trevino",https://pennington-wagner.com/,Isle of Man,Cross-platform 3rdgeneration alliance,2001,Performing Arts,4577
4,3a5DA429c765F7C,Howell-Griffin,https://salazar.com/,Burkina Faso,Secured mission-critical definition,1989,Online Publishing,2134
5,DA7D0C4c1be44bA,"Waller, Bennett and Forbes",https://www.hicks-pruitt.com/,Gabon,Digitized optimal neural-net,1983,Animation,550
6,7DF1CaEBe3f6DCe,Travis-Ramos,https://villa-love.com/,Comoros,Expanded optimal encryption,1974,Mental Health Care,6208
7,FA2FCff845c4D5c,Meyer-Dyer,https://le-robinson.com/,Montserrat,Diverse responsive frame,2012,Warehousing,3472
8,7A8581EB81893E4,Butler Group,https://www.franco-frank.com/,Montserrat,Optional discrete database,2017,Program Development,8666
9,d231acA1deB4341,Sloan and Sons,https://dunlap.org/,Mayotte,Proactive background encryption,2005,E - Learning,1915
10,82abDc8dABEe1F2,"Carroll, Mcfarland and Walker",http://chase.com/,Rwanda,Distributed empowering access,1990,Venture Capital / VC,7223
11,0dDCCFF9C4aEB51,Terrell Ltd,https://www.charles-reid.net/,Jersey,Visionary cohesive orchestration,2000,Venture Capital / VC,2216
12,257BA18A8fcFCed,"Lane, Stevens and Zhang",https://reese.com/,Comoros,Triple-buffered human-resource product,2022,Computer Hardware,1692
13,FbC707e5eeB5feB,Sheppard PLC,http://hays-melton.com/,Denmark,Configurable neutral solution,1977,Information Services,6834
14,BEf17908b13BCC0,"Perry, Parker and Hardin",https://wolfe.com/,Argentina,Persevering eco-centric matrices,1970,Paper / Forest Products,7265
15,8F5AbB6ab64bC5C,"Rice, Chaney and Flowers",http://sims-wyatt.com/,French Southern Territories,Implemented tangible middleware,1984,Utilities,2600
16,a969DBCB435baDA,"Roberts, Dennis and Patel",http://simmons-hammond.com/,Solomon Islands,Intuitive national initiative,2000,Internet,7392
17,6AA1e29d8AFFf1b,"Donaldson, Warren and Benson",http://collier.org/,Barbados,Adaptive transitional circuit,1981,Philanthropy,8192
18,6e01Fb07ad79c4E,"Zuniga, Lynch and Espinoza",http://www.valentine.com/,Macedonia,Profit-focused non-volatile ability,1979,Ranching,496
19,AcBEAf5B56c417b,"Nielsen, Eaton and Carpenter",https://rich.com/,Kenya,Centralized needs-based core,1974,Wholesale,849
20,B58Dd179ef19158,Rowland-Kirk,https://www.malone.com/,Rwanda,Open-source exuding open system,2019,Translation / Localization,2345
21,1f531Ed5deb5Df8,"Salazar, Mcintyre and Steele",https://www.stein.info/,Belgium,Customizable interactive algorithm,1987,Import / Export,8218
22,a26DdBbB4904ac5,Marsh-Shaffer,http://arnold-avery.com/,Fiji,Object-based logistical neural-net,1971,Other Industry,6553
23,3cAaB6856F8e9A9,Drake Inc,https://newton-sanders.info/,Malta,Integrated demand-driven moratorium,1984,Investment Banking / Venture,4375
24,9AA01dCfADaB601,Combs-Buck,http://bowers.com/,Andorra,Configurable multi-tasking product,2000,Facilities Services,2313
25,33EfF66c2bcC9ce,Pratt and Sons,http://costa.com/,Zambia,Profit-focused systematic superstructure,2006,Dairy,8112
26,cb30bb4DEA3B885,Barton Ltd,https://ho.com/,Timor-Leste,Triple-buffered modular productivity,1988,Political Organization,7553
27,FfDdeE36f03c9cB,"Frye, Pratt and Levy",http://ingram.com/,Pitcairn Islands,Profound local attitude,2002,Animation,7408
28,10B493424FBb987,"Rivera, Melendez and Maynard",https://www.donaldson.com/,Jamaica,Profound 4thgeneration function,1989,Staffing / Recruiting,3741
29,EDe3BEfeDE5Bdc4,"Pace, Anderson and Stafford",http://roach-price.com/,Lao People's Democratic Republic,De-engineered stable neural-net,2010,Public Safety,1355
30,68B1CC393e1c0fb,"Michael, Patterson and Reynolds",http://carpenter.com/,United Kingdom,Function-based real-time firmware,2010,Supermarkets,5918
31,e9094C04FA8C0e5,Henderson-Anthony,https://decker-zuniga.com/,Finland,Programmable static infrastructure,1970,Dairy,1897
32,a0A777DeAdABD45,Moreno Ltd,https://oliver-chambers.com/,Venezuela,Fundamental bandwidth-monitored process improvement,1985,Chemicals,2143
33,f953c6950b8d9DD,Rowland Inc,http://www.greene.com/,Zimbabwe,Monitored bi-directional analyzer,1974,Insurance,9637
